SALES,Quantity_sold,Cost_of_sales,Month_NAME,Year_NAME,Day_NAME,Average_Unit_Price,Gross_profit,Total_sales,Total_units_sold,Total_cost_sale
86782.46875,2678,87986.32031,Jan,2014,Wednesday,32.40570155,1203.851563,186385544.7,1051,193489043.6
200173.1094,6175,202881.1719,Jan,2014,Thursday,32.41669787,2708.0625,,,
326906.0625,10084,333806.2813,Jan,2014,Friday,32.41829259,6900.21875,,,
307043.9375,9470,313652.3438,Jan,2014,Saturday,32.42280227,6608.40625,,,
179188.8906,5524,183083.2813,Jan,2014,Sunday,32.43824957,3894.390625,,,
306351.9375,9448,313446.0625,Jan,2014,Monday,32.42505689,7094.125,,,
224020.4063,6911,229533.9688,Jan,2014,Tuesday,32.41504938,5513.5625,,,
101836.3984,2990,99381.96875,Jan,2014,Wednesday,34.05899613,-2454.429688,,,
107804.3047,3159,104816.4609,Jan,2014,Thursday,34.12608569,-2987.84375,,,
144829.9531,4246,141334,Jan,2014,Friday,34.10973931,-3495.953125,,,
146571.4844,4297,143179.6719,Jan,2014,Saturday,34.11018952,-3391.8125,,,
95422.375,2796,93126.14844,Jan,2014,Sunday,34.12817418,-2296.226563,,,
114883.1719,3369,112186.3125,Jan,2014,Monday,34.1000807,-2696.859375,,,
80090.79688,2348,78096.75781,Jan,2014,Tuesday,34.11022013,-1994.039063,,,
98945.375,2903,97159,Jan,2014,Wednesday,34.08383569,-1786.375,,,
84904.89844,2491,83350.42969,Jan,2014,Thursday,34.08466417,-1554.46875,,,
135460.625,3968,132703.3281,Jan,2014,Friday,34.13826235,-2757.296875,,,
149925.75,4393,146928.4063,Jan,2014,Saturday,34.12832916,-2997.34375,,,
74297.30469,2176,72782.28125,Jan,2014,Sunday,34.14398193,-1515.023438,,,
83356.42188,2443,81789.13281,Jan,2014,Monday,34.12051653,-1567.289063,,,
89922.01563,2638,88388.91406,Jan,2014,Tuesday,34.08719319,-1533.101563,,,
57806.30469,1704,57157.28125,Jan,2014,Wednesday,33.92388773,-649.0234375,,,
63977.75,1872,62863.98828,Jan,2014,Thursday,34.1761485,-1113.761719,,,
116958.7969,3423,114823.7969,Jan,2014,Friday,34.16850624,-2135,,,
155272.8281,4544,152636.2813,Jan,2014,Saturday,34.17095689,-2636.546875,,,
82885.21875,2426,81583.16406,Jan,2014,Sunday,34.16538283,-1302.054688,,,
72353.42969,2117,71377.15625,Jan,2014,Monday,34.17734043,-976.2734375,,,
50415.90234,1476,49769.09766,Jan,2014,Tuesday,34.15711541,-646.8046875,,,
67458.30469,1974,66529.44531,Jan,2014,Wednesday,34.17340663,-928.859375,,,
