Date,Sales,Cost Of Sales,Quantity Sold
1/1/2014,86782.46773,87986.31821,2678
2/1/2014,200173.1168,202881.1777,6175
3/1/2014,326906.0742,333806.2919,10084
4/1/2014,307043.9354,313652.3483,9470
5/1/2014,179188.8845,183083.285,5524
6/1/2014,306351.9509,313446.0681,9448
7/1/2014,224020.41,229533.9737,6911
8/1/2014,101836.4022,99381.96752,2990
9/1/2014,107804.3049,104816.4585,3159
10/1/2014,144829.9567,141333.9963,4246
11/1/2014,146571.4824,143179.67,4297
12/1/2014,95422.37298,93126.14724,2796
13/1/2014,114883.1738,112186.3087,3369
14/1/2014,80090.80008,78096.76018,2348
15/1/2014,98945.37116,97159.00259,2903
16/1/2014,84904.90171,83350.43316,2491
17/1/2014,135460.6197,132703.3354,3968
18/1/2014,149925.7497,146928.4118,4393
19/1/2014,74297.30718,72782.28432,2176
20/1/2014,83356.42456,81789.13612,2443
21/1/2014,89922.01429,88388.91607,2638
22/1/2014,57806.30278,57157.28254,1704
23/1/2014,63977.75035,62863.98724,1872
24/1/2014,116958.7998,114823.7952,3423
25/1/2014,155272.8248,152636.2766,4544
26/1/2014,82885.21591,81583.16695,2426
27/1/2014,72353.42588,71377.15646,2117
28/1/2014,50415.90376,49769.09824,1476
29/1/2014,67458.30189,66529.442,1974
30/1/2014,64640.36931,63757.83987,1892
31/1/2014,137693.8735,135609.5076,4030
1/2/2014,181209.1285,178435.7153,5304
2/2/2014,113433.581,111466.5168,3320
3/2/2014,143192.5334,140505.6347,4191
4/2/2014,130126.6499,128496.2877,3809
5/2/2014,187155.8685,195078.6033,5764
6/2/2014,102314.7096,101977.99,3028
7/2/2014,301553.8426,313529.1877,9284
8/2/2014,316073.1775,329754.7795,9737
9/2/2014,135178.0426,141530.7087,4163
10/2/2014,147727.5162,154828.6846,4552
11/2/2014,135498.7464,139824.1616,4172
12/2/2014,163432.8452,166893.3689,5037
13/2/2014,138291.6333,141027.4345,4259
14/2/2014,336901.3717,343519.8755,10381
15/2/2014,367729.2682,373973.5933,11332
16/2/2014,133913.8414,136797.0774,4127
17/2/2014,150800.347,152887.1064,4649
18/2/2014,55591.93034,53463.24421,1627
19/2/2014,106427.1918,107736.4441,3281
20/2/2014,78940.55442,75934.39482,2310
21/2/2014,317916.3179,322089.789,9802
22/2/2014,309217.8756,320116.9243,9772
23/2/2014,138491.55,140752.6016,4270
24/2/2014,133146.2222,134505.4042,4106
25/2/2014,224994.6562,227546.4466,6937
26/2/2014,225051.5915,228214.1421,6934
27/2/2014,344299.6824,365935.653,11082
28/2/2014,661876.5,686656.791,20805
1/3/2014,846678.3882,872081.585,26410
2/3/2014,478902.3049,495554.4499,15004
3/3/2014,538827.2021,557567.137,16884
4/3/2014,310346.1213,323325.0299,9789
5/3/2014,256390.5222,267308.5071,8079
6/3/2014,167803.6598,168135.69,5072
7/3/2014,465318.0215,483774.5967,14551
8/3/2014,520146.7496,541498.9582,16262
9/3/2014,224699.2528,233589.983,7014
10/3/2014,286230.6789,297642.8914,8932
11/3/2014,187143.0181,191499.0428,5737
12/3/2014,191700.3891,197153.424,5903
13/3/2014,164663.9676,168975.174,5056
14/3/2014,395941.3451,406765.914,12167
15/3/2014,518183.2104,534383.1431,15971
16/3/2014,226617.9549,233191.1046,6968
17/3/2014,243707.8719,250794.2213,7494
18/3/2014,94849.7438,90571.58892,2707
19/3/2014,92386.78307,88255.84099,2637
20/3/2014,180394.8277,172344.3044,5149
21/3/2014,200939.6924,192019.1443,5735
22/3/2014,172953.9247,165201.305,4936
23/3/2014,70194.79954,67061.62271,2003
24/3/2014,81378.21463,77703.64633,2323
25/3/2014,130227.0147,127394.2892,3822
26/3/2014,125310.0364,122275.1026,3666
27/3/2014,119452.3396,118186.575,3543
28/3/2014,276174.7693,271550.8956,8130
29/3/2014,357369.2669,352250.8301,10518
30/3/2014,163865.4903,160525.4269,4791
31/3/2014,190719.6145,187072.5952,5583
1/4/2014,244535.2052,239700.6848,7155
2/4/2014,155620.5038,153366.0188,4575
3/4/2014,136001.9782,134523.0686,3997
4/4/2014,190559.8875,187742.3,5558
5/4/2014,217110.5025,213540.7342,6320
6/4/2014,119190.1,116856.3146,3447
7/4/2014,131910.1975,130784.4447,3854
8/4/2014,118921.3077,115305.8052,3394
9/4/2014,124828.2828,121264.7031,3563
10/4/2014,179326.4902,183278.5024,5380
11/4/2014,318949.8171,326322.526,9573
12/4/2014,375031.1093,383727.194,11250
13/4/2014,166393.5407,170061.8641,4990
14/4/2014,193652.3278,198212.0687,5810
15/4/2014,249805.5172,255956.654,7497
16/4/2014,294023.4109,301522.3523,8821
17/4/2014,612236.0058,627927.7587,18366
18/4/2014,464815.5179,476692.5437,13940
19/4/2014,360480.9404,369765.6128,10814
20/4/2014,114279.5773,117190.8262,3429
21/4/2014,161170.8204,165415.0838,4834
22/4/2014,182483.1465,187344.7372,5475
23/4/2014,109358.4125,106849.8988,3121
24/4/2014,98430.11411,96197.48223,2809
25/4/2014,295741.347,292327.0283,8537
26/4/2014,285053.9799,281159.5811,8209
27/4/2014,124964.7965,123042.159,3592
28/4/2014,124175.8084,122516.0657,3576
29/4/2014,131842.5716,130405.2639,3807
30/4/2014,154850.0573,150644.3482,4398
1/5/2014,180294.2687,175656.6504,5124
2/5/2014,163849.0358,157300.6256,4581
3/5/2014,131436.7924,127601.9447,3697
4/5/2014,93082.04396,91601.50654,2642
5/5/2014,110887.0133,109460.1532,3154
6/5/2014,119385.5754,115693.1066,3324
7/5/2014,91719.58938,93157.17058,2677
8/5/2014,96335.44895,93696.21614,2683
9/5/2014,303226.2984,325836.9401,9328
10/5/2014,431695.7092,465253.8157,13306
11/5/2014,200407.2771,215907.8249,6173
12/5/2014,183413.7083,197835.4951,5653
13/5/2014,146166.6011,157693.1893,4503
14/5/2014,201120.7276,218098.7619,6253
15/5/2014,270123.5508,289864.7985,8408
16/5/2014,415315.3839,441790.7672,12949
17/5/2014,498716.9976,526707.377,15508
18/5/2014,166433.1721,174376.6325,5141
19/5/2014,168520.6294,175540.1155,5194
20/5/2014,178123.5321,187748.1722,5550
21/5/2014,194878.8026,204460.6654,6070
22/5/2014,115475.0969,115011.3226,3421
23/5/2014,430521.0245,449274.1863,13384
24/5/2014,590642.8257,614245.7941,18356
